geographic_area,oc1,oc2,working_time,sex,year,value,flag,comment,timestamp
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2005,2105,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Part time,F,2005,46,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Part time,M,2005,3110,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2005,2803,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2005,785,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2005,1351,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Full time,F,2006,68,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Full time,M,2006,6891,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2006,55,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2006,2059,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Part time,F,2006,45,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Part time,M,2006,3043,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2006,2742,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2006,768,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2006,1321,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Full time,F,2007,66,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2007,6738,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2007,54,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2007,2013,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2007,44,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2007,2975,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2007,2681,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2007,751,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2007,1292,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2008,54,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Full time,M,2008,5444,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2008,58,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2008,2161,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Part time,F,2008,61,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Part time,M,2008,3976,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2008,1380,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,F,2008,1,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2008,860,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Part time,F,2008,2,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2008,1681,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Full time,F,2009,51,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2009,5119,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2009,55,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2009,2032,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2009,57,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2009,3739,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2009,1298,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,F,2009,1,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2009,809,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,F,2009,2,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2009,1581,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2010,62,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2010,6013,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2010,43,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2010,1695,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2010,53,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2010,2465,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,F,2010,5,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2010,2311,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,F,2010,1,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2010,644,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,F,2010,1,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2010,1164,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2011,2,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2011,2480,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2011,2,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2011,638,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2011,7,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2011,1200,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,F,2011,66,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2011,5752,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,F,2011,51,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2011,1703,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,F,2011,42,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2011,2330,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2012,2,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2012,2480,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2012,2,,2020-06-04 Edited OECD data,
